x,y,z,rz1,ry,rz2,velocity,type
0.000000,0.000000,25.000000,0.000000,0.000000,0.000000,-1.000000,0
10.000000,20.000000,10.000000,0.000000,0.000000,0.000000,-1.000000,0
10.000000,20.000000,0.000000,0.000000,0.000000,0.000000,10.000000,0
17.071068,22.928932,0.000000,0.000000,0.000000,0.000000,10.000000,1
20.000000,30.000000,0.000000,0.000000,0.000000,0.000000,10.000000,0
20.000000,30.000000,10.000000,0.000000,0.000000,0.000000,-1.000000,0
25.000000,30.000000,2.000000,0.000000,0.000000,0.000000,-1.000000,0
25.000000,30.000000,-5.000000,0.000000,0.000000,0.000000,5.000000,0
25.000000,30.000000,2.000000,0.000000,0.000000,0.000000,-1.000000,0
35.000000,30.000000,2.000000,0.000000,0.000000,0.000000,-1.000000,0
35.000000,30.000000,-5.000000,0.000000,0.000000,0.000000,5.000000,0
35.000000,30.000000,2.000000,0.000000,0.000000,0.000000,-1.000000,0
35.000000,30.000000,25.000000,0.000000,0.000000,0.000000,-1.000000,0
